name,num_parts,num_vertices,num_edges,part_time,sys_time,comm_vol,edge_cut,avg_part_size,std_part_size,min_part_size,max_part_size,perf_time,perf_total_time,perf_std
wiki-topcats.txt.metis,256,1791489,25444207,742.350514,0.118745s,17987837,37868558,6998.004,197.135,6777,7208,829.29,831.16,2.05
soc-pokec-relationships.txt.metis,32,1632803,22301964,91.603212,0.075984s,9969910,22410042,51025.094,855.923,50512,52556,112.508,112.745,0.224
soc-pokec-relationships.txt.metis,32,1632803,22301964,92.232704,0.051998s,9969910,22410042,51025.094,855.923,50512,52556,113.194,112.745,0.224
soc-pokec-relationships.txt.metis,32,1632803,22301964,91.522379,0.095982s,9969910,22410042,51025.094,855.923,50512,52556,112.534,112.745,0.224
cit-Patents.txt.metis,256,3774768,16518947,540.462258,0.178230s,20545380,25299402,14745.188,26.442,14737,15053,704.329,704.800,0.357
cit-Patents.txt.metis,256,3774768,16518947,541.604660,0.170734s,20545380,25299402,14745.188,26.442,14737,15053,705.501,704.800,0.357
cit-Patents.txt.metis,256,3774768,16518947,540.412374,0.164012s,20545380,25299402,14745.188,26.442,14737,15053,704.570,704.800,0.357
twitter-2010.txt.tmp.source_sorted.metis,8,41652230,1202513046,1526.866708,5.157389s,146575891,1257908164,5206528.750,96244.579,5137099,5362725,2187.03,2183.82,4.13
twitter-2010.txt.tmp.source_sorted.metis,8,41652230,1202513046,1527.659933,5.576649s,146575891,1257908164,5206528.750,96244.579,5137099,5362725,2188.80,2183.82,4.13
twitter-2010.txt.tmp.source_sorted.metis,8,41652230,1202513046,1519.180430,5.851165s,146575891,1257908164,5206528.750,96244.579,5137099,5362725,2175.62,2183.82,4.13
com-orkut.ungraph.txt.metis,4,3072441,117185083,84.164964,0.385463s,6837515,74008208,768110.250,17269.820,744261,791154,131.71,130.38,1.15
com-orkut.ungraph.txt.metis,4,3072441,117185083,83.846499,0.436013s,6837515,74008208,768110.250,17269.820,744261,791154,131.35,130.38,1.15
com-orkut.ungraph.txt.metis,4,3072441,117185083,80.751497,0.416017s,6837515,74008208,768110.250,17269.820,744261,791154,128.08,130.38,1.15
soc-lastfm.metis,128,1191805,4519330,74.712994,0.048358s,3243053,5750446,9310.977,94.466,9270,9591,101.3766,101.4134,0.0402
soc-lastfm.metis,128,1191805,4519330,74.872129,0.023791s,3243053,5750446,9310.977,94.466,9270,9591,101.4938,101.4134,0.0402
soc-lastfm.metis,128,1191805,4519330,74.763989,0.038538s,3243053,5750446,9310.977,94.466,9270,9591,101.3700,101.4134,0.0402
wiki-Talk.txt.metis,4,2394385,4659565,6.060609,0.014763s,1826608,4214900,598596.250,10368.489,592610,616555,11.1207,11.1382,0.0111
wiki-Talk.txt.metis,4,2394385,4659565,5.963943,0.004090s,1826608,4214900,598596.250,10368.489,592610,616555,11.1350,11.1382,0.0111
wiki-Talk.txt.metis,4,2394385,4659565,6.025147,0.019390s,1826608,4214900,598596.250,10368.489,592610,616555,11.1589,11.1382,0.0111
com-youtube.ungraph.txt.metis,2,1134890,2987624,2.347316,0.020241s,540008,999048,567445.000,17024.000,550421,584469,4.31245,4.30464,0.00982
com-youtube.ungraph.txt.metis,2,1134890,2987624,2.350596,0.011771s,540008,999048,567445.000,17024.000,550421,584469,4.31635,4.30464,0.00982
com-youtube.ungraph.txt.metis,2,1134890,2987624,2.324717,0.010333s,540008,999048,567445.000,17024.000,550421,584469,4.28513,4.30464,0.00982
roadNet-PA.txt.metis,256,1088092,1541898,58.636806,0.029026s,664021,701152,4250.359,18.247,4230,4364,102.193,102.369,0.189
roadNet-PA.txt.metis,256,1088092,1541898,58.925637,0.020000s,664021,701152,4250.359,18.247,4230,4364,102.747,102.369,0.189
roadNet-PA.txt.metis,256,1088092,1541898,58.619477,0.027995s,664021,701152,4250.359,18.247,4230,4364,102.166,102.369,0.189
cit-Patents.txt.metis,32,3774768,16518947,78.480162,0.063614s,16970709,23834488,117961.500,4.070,117953,117970,113.189,112.955,0.118
cit-Patents.txt.metis,32,3774768,16518947,78.372836,0.095981s,16970709,23834488,117961.500,4.070,117953,117970,112.868,112.955,0.118
cit-Patents.txt.metis,32,3774768,16518947,78.393507,0.071998s,16970709,23834488,117961.500,4.070,117953,117970,112.809,112.955,0.118
twitter-2010.txt.tmp.source_sorted.metis,128,41652230,1202513046,21154.875636,6.940039s,471159086,1848247690,325408.047,4783.306,322922,335171,22779.65,22795.01,18.55
twitter-2010.txt.tmp.source_sorted.metis,128,41652230,1202513046,21145.144254,7.332257s,471159086,1848247690,325408.047,4783.306,322922,335171,22773.46,22795.01,18.55
twitter-2010.txt.tmp.source_sorted.metis,128,41652230,1202513046,21197.602355,9.089165s,471159086,1848247690,325408.047,4783.306,322922,335171,22831.93,22795.01,18.55
soc-lastfm.metis,8,1191805,4519330,6.772934,0.008145s,1488721,3980280,148975.625,2580.401,147480,153445,10.8904,10.8140,0.0388
soc-lastfm.metis,8,1191805,4519330,6.681227,0.003999s,1488721,3980280,148975.625,2580.401,147480,153445,10.7872,10.8140,0.0388
soc-lastfm.metis,8,1191805,4519330,6.637421,0.028001s,1488721,3980280,148975.625,2580.401,147480,153445,10.7643,10.8140,0.0388
soc-LiveJournal1.txt.metis,8,4846609,42851237,56.661362,0.116304s,7151632,20132034,605826.125,11866.666,596436,624001,81.346,81.767,0.366
soc-LiveJournal1.txt.metis,8,4846609,42851237,56.731946,0.166632s,7151632,20132034,605826.125,11866.666,596436,624001,81.460,81.767,0.366
soc-LiveJournal1.txt.metis,8,4846609,42851237,57.649264,0.161253s,7151632,20132034,605826.125,11866.666,596436,624001,82.497,81.767,0.366
soc-pokec-relationships.txt.metis,128,1632803,22301964,336.698905,0.078742s,14999519,27099950,12756.273,177.216,12647,13139,384.188,384.036,0.149
soc-pokec-relationships.txt.metis,128,1632803,22301964,336.468918,0.101807s,14999519,27099950,12756.273,177.216,12647,13139,383.739,384.036,0.149
soc-pokec-relationships.txt.metis,128,1632803,22301964,336.901549,0.123478s,14999519,27099950,12756.273,177.216,12647,13139,384.181,384.036,0.149
roadNet-TX.txt.metis,32,1379917,1921660,10.957135,0.012003s,821893,867732,43122.406,6.614,43115,43139,19.2957,19.3226,0.0135
roadNet-TX.txt.metis,32,1379917,1921660,10.974410,0.019995s,821893,867732,43122.406,6.614,43115,43139,19.3351,19.3226,0.0135
roadNet-TX.txt.metis,32,1379917,1921660,10.986931,0.010292s,821893,867732,43122.406,6.614,43115,43139,19.3370,19.3226,0.0135
ydata-yim-friends-graph-v1_0.txt.metis,64,1878736,4079161,40.680149,0.022824s,4533119,5042692,29355.250,1.436,29351,29360,63.492,63.208,0.142
ydata-yim-friends-graph-v1_0.txt.metis,64,1878736,4079161,40.279353,0.015718s,4533119,5042692,29355.250,1.436,29351,29360,63.081,63.208,0.142
ydata-yim-friends-graph-v1_0.txt.metis,64,1878736,4079161,40.254083,0.027995s,4533119,5042692,29355.250,1.436,29351,29360,63.052,63.208,0.142
roadNet-TX.txt.metis,16,1379917,1921660,6.383642,0.004000s,797817,846104,86244.812,7.650,86234,86262,11.34533,11.33488,0.00549
roadNet-TX.txt.metis,16,1379917,1921660,6.369564,0.011986s,797817,846104,86244.812,7.650,86234,86262,11.33259,11.33488,0.00549
roadNet-TX.txt.metis,16,1379917,1921660,6.382870,0.006358s,797817,846104,86244.812,7.650,86234,86262,11.32672,11.33488,0.00549
com-youtube.ungraph.txt.metis,32,1134890,2987624,14.648145,0.012094s,1435441,3109500,35465.312,533.401,35129,36530,22.4117,22.3148,0.0500
